CO_CNES;CO_IBGE;NO_FANTASIA;ESTADO;MUNICIPIO;CO_CEP;NO_BAIRRO;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NU_LATITUDE;NU_LONGITUDE
0050377;2704302;MANUS;AL;MACEIO;57036510;JATIUCA;RUA DOUTOR AFFONSO DE MELLO;118;;-9.64949245306766;-35.70573806762695
0104418;2606606;CENTRAL MUNICIPAL DE REDE DE FRIO DE IBIMIRIM;PE;IBIMIRIM;56580000;LAGES;RUA INES ROLIM;S/N;;-8.541;-37.69
2010658;2706307;LABORATORIO OSVALDO CRUZ;AL;PALMEIRA DOS INDIOS;57607100;SAO CRISTOVAO;AV VIEIRA DE BRITO;285;;-9.407;-36.628
3058948;2706307;UNICLINICA;AL;PALMEIRA DOS INDIOS;57601090;SAO CRISTOVAO;AV 15 DE NOVERMBRO;112;;-9.407;-36.628
0032018;2602902;SR DENTE;PE;CABO DE SANTO AGOSTINHO;54580330;PONTE DOS CARVALHOS;PETROMILO CAPRISTANO DOS SANTOS LOT B CONSELHO;00020;ENG ILHA GLEBA;-8.287;-35.035
3083748;2604106;CEO MUNICIPAL TIPO III;PE;CARUARU;55006280;SAO FRANCISCO;RUA MARTIM AFONSO;267;;-8.291675677480157;-35.98001003265381
6363008;2705101;SECRETARIA MUNICIPAL DE MATRIZ DE CAMARAGIBE;AL;MATRIZ DE CAMARAGIBE;57910000;CENTRO;PRACA OSMAN MASCARENHAS;S/N;;-9.1575615;-35.5344428478711
0065471;2611101;ENDOSCENTER VALE DO SAO FRANCISCO LTDA;PE;PETROLINA;56304920;CENTRO;AV MONSENHOR ANGELO SAMPAIO;100;;-9.3796651;-40.4885459
7806655;2700300;VICTOR FELIPE DIAS PEREIRA SILVA;AL;ARAPIRACA;57300400;CENTRO;RUA DR PEDRO CORREIA;250;;-9.752;-36.661
2434377;2607604;USF SOSSEGO;PE;ILHA DE ITAMARACA;53900000;SOSSEGO;RUA MARIA BETANIA;S/N;;-7.720655869697447;-34.83818292617798
