CO_CNES;CO_IBGE;NO_FANTASIA;ESTADO;MUNICIPIO;CO_CEP;NO_BAIRRO;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NU_LATITUDE;NU_LONGITUDE
0423181;5200050;CORE CLIN;GO;ABADIA DE GOIAS;75345000;JARDIM NOVA ABADIA;JOSE PEDRO DA COSTA;S/N;QUADRA23;-16.76523112224453;-49.42853093147278
2361698;5200050;CENTRO DE SAUDE ESPECIALIZADO DE ABADIA DE GOIAS;GO;ABADIA DE GOIAS;75345000;CENTRO;AV COMERCIAL;S/N;QD 3 LT 7 12;-16.757;-49.438
7764847;5200050;LABORATORIO MUNICIPAL DE ABADIA DE GOIAS;GO;ABADIA DE GOIAS;75345000;CENTRO;AV COMERCIAL;S/N;QD 03 LT 7 12;-16.757;-49.438
7734719;5200050;ODONTOLOGIA BETHEL;GO;ABADIA DE GOIAS;75345000;CHACARA RANCHO DOURA;RUA NA 14 QD AREA 4 LT 100 101;S/N;SALA 2;-16.7572644;-49.4412205
9570306;5200050;FARMACIA BASICA MUNICIPAL DE ABADIA DE GOIAS;GO;ABADIA DE GOIAS;75345000;CENTRO;AV COMERCIAL;S/N;QD 03 LT 7 12;-16.75330402312402;-49.43774700164795
9570209;5200050;CAPS ABADIA DE GOIAS;GO;ABADIA DE GOIAS;75345000;SETOR DOM FELIPE;RUA DR RUI ALVES NEIVA;00;APM 1;-16.76604267201507;-49.438616037368774
6623697;5200050;ESF CENTRAL DE ABADIA DE GOIAS;GO;ABADIA DE GOIAS;75345000;JARDIM NOVA ABADIA;AVENIDA JOAO BARBOSA QD 07 LT 04;S/N;;-16.756981881907976;-49.43774700164795
9348352;5200050;UBS RECANTO DOS DOURADOS;GO;ABADIA DE GOIAS;75345000;SETOR RECANTO DOS DO;RUA CABO FRIO;S/N;QD 02 LT 10;-16.757;-49.438
6446086;5200050;SECRETARIA MUNICIPAL DE SAUDE DE ABADIA DE GOIAS;GO;ABADIA DE GOIAS;75345000;ST DON FELLIPE;RUA DR RUI ALVES NEIVA C AV DON FELLIPE;S/N;APM 01;-16.757;-49.438
9655093;5200050;UBS GORGONIO ALVES FORTES;GO;ABADIA DE GOIAS;75345000;SETOR DOM FELLIPE;RUA DR RUI ALVES NEIVA C AV DOM FELLIPE AMP 01;S/N;;-16.757;-49.438
2768976;5200050;UBS DR MARLOS CUSTODIO PEREIRA;GO;ABADIA DE GOIAS;75345000;VILA SOCORRO;RUA OMAR JOSE ALVES;S/N;QD C LT 11;-16.757;-49.438
2768623;5200050;VIGILANCIA SANITARIA DE ABADIA DE GOIAS;GO;ABADIA DE GOIAS;75345000;NOVA ABADIA;AV JOSE MENDONCA;S/N;QD 03 LT 09;-16.757;-49.438
7714793;5200050;UBS CAMPOS ELISIOS;GO;ABADIA DE GOIAS;75345000;SETOR CAMPOS ELISIOS;RUA DR SERAFIM DE CARVALHO APM;S/N;;-16.757;-49.438
0423173;5200050;INOVAR HOME CARE SERVICOS ESPECIALIZADOS EM SAUDE;GO;ABADIA DE GOIAS;75345000;VILA GOIANY;COMERCIAL;S/N;QUADRA01;-16.757;-49.438
9214305;5200050;BIO REDE;GO;ABADIA DE GOIAS;75345000;VILA NOSSA SENHORA D;COMERCIAL;S/N;QUADRAF;-16.757;-49.438
7422539;5200050;ACADEMIA DE SAUDE DE ABADIA DE GOIAS;GO;ABADIA DE GOIAS;75345000;JARDIM NOVA ABADIA;AV PAU BRASIL APM 1;S/N;;-16.757;-49.438
7258526;5200050;LABORATORIO SANTA ROSA ABADIA DE GOIAS;GO;ABADIA DE GOIAS;75345000;CENTRO;RUA PADRE NELSON ANTONIO;S/N;;-16.7577977;-49.4378004
0100900;5200100;CONSULTORIO ODONTOLOGICO FREDDY ARMSTRONG;GO;ABADIANIA;72940000;CENTRO;AVENIDA GERALDO RODRIGUES DOS SANTOS;800;CASA 02;-16.19491423413707;-48.70655536651611
2361809;5200100;POSTO DE SAUDE POSSE DA ABADIA ABADIANIA;GO;ABADIANIA;72940000;CENTRO;PRC DA MATRIZ;S/N;;-16.099103107286197;-48.79977822303772
2361833;5200100;UBS CENTRAL;GO;ABADIANIA;72940000;CENTRO;AVENIDA GERALDO RODRIGUES DOS SANTOS;712;;-16.196480298995162;-48.70606184005737
6683711;5200100;SECRETARIA MUNICIPAL DE SAUDE;GO;ABADIANIA;72940000;CENTRO;RUA SAO PEDRO;S/N;QD 66 LT 16;-16.198886038882442;-48.70666801929474
9331603;5200100;UNIDADE MISTA;GO;ABADIANIA;72940000;CENTRO;AVENIDA OTACILIO FERNANDES LIMA;S/N;QD 08;-16.190401425088837;-48.71309995651245
3905683;5200100;UBS EDUARDO ALMEIDA BALBINO;GO;ABADIANIA;72940000;PROLONGAMENTO I;RUA JOAO SERGINO DE SOUZA;S/N;QD 116 LT 03 04;-16.208454617400346;-48.705788254737854
9939113;5200100;ESQUADRAO RESGATE;GO;ABADIANIA;72940000;ZONA RURAL;RODOVIA GO 338;S/N;KM 26;-16.034759914653723;-48.86538505554199
9229949;5200100;COMUNIDADE TERAPEUTICA REINO UNIDO;GO;ABADIANIA;72940000;FAZENDA CURRALINHO;BR GO 060;S/N;KM 22;-16.190731131527873;-48.67185831069946
6937756;5200100;UBS LINDO HORIZONTE;GO;ABADIANIA;72940000;LINDO HORIZONTE;RUA SETE;S/N;QD 15 L 03 04 05;-16.188948649530737;-48.72539520263672
2383527;5200100;UBS PLANALMIRA;GO;ABADIANIA;72940000;DIST PLANALMIRA;RUA 49;S/N;QD 110 LT 05;-16.05797988658059;-48.85238170623779
6684939;5200100;CLINICA DE REAB P DEFICIENTES FISICOS IPAMINONDAS G FERREIRA;GO;ABADIANIA;72940000;CENTRO;AVENIDA ANAPOLIS;S/N;;-16.196876964765448;-48.703739047050476
9219544;5200100;LABORATORIO GAMA;GO;ABADIANIA;72940000;CENTRO;RUA MAURILIO BEIRES;S/N;QD 13 LT 01;-16.191982980646927;-48.71009588241577
0668907;5200100;CENTRO DE ENFRENTAMENTO AO COVID E ESPECIALIDADES MEDICAS;GO;ABADIANIA;72940000;CENTRO;AVENIDA GOIAS ESQUINA COM A TRAVESSA 7;S/N;;-16.196562723116973;-48.70464563369751
9384693;5200100;CENTRO DO BOM VIVER DIOGENES GONTIJO DE AZEVEDO;GO;ABADIANIA;72940000;LINDO HORIZONTE;RUA 05;S/N;QD 13 LT 22;-16.18708372338732;-48.70887279510498
0181625;5200100;ACADEMIA DE SAUDE JOAQUINA P FARIA;GO;ABADIANIA;72940000;CENTRO;AVENIDA ANAPOLIS;S/N;;-16.191699641006686;-48.711018562316895
9808027;5200100;EXCELENCIA MEDICA CTBMF TRAUMAS FACIAIS;GO;ABADIANIA;72940000;PROLONGAMENTO I;RUA SEBASTIAO DAMAS SANTIAGO;S/N;QD 102 LT 01;-16.206144292516992;-48.70533227920532
6927033;5200100;SAMU SERVICO DE URGENCIA MOVEL;GO;ABADIANIA;72940000;CENTRO;AV GERALDO RODRIGUES SANTOS;712;;-16.197706354252976;-48.7064266204834
9845216;5200134;CAPS ACREUNA;GO;ACREUNA;75960000;CENTRO;RUA LAZARA ARANTES DE OLIVEIRA;63;;-17.40705565916171;-50.37311911582947
2335506;5200134;HOSPITAL SANTA CECILIA ACREUNA;GO;ACREUNA;75960000;CENTRO;AVN ARAGUAIA ESQ C MACHADO DE ALMEIDA;25;;-17.39581454634819;-50.380210876464844
2437570;5200134;HOSPITAL E MAT MUNICIPAL DE ACREUNA;GO;ACREUNA;75960000;SAO LOURENCO;RUA 08;S/N;;-17.40670758407242;-50.37737846374512
